,pclass,age,sex
386,2nd,18.0,male
89,1st,48.0,female
183,1st,31.19418104265403,male
746,3rd,19.0,male
1211,3rd,31.19418104265403,male
384,2nd,8.0,male
729,3rd,22.0,female
1076,3rd,31.19418104265403,male
1290,3rd,31.19418104265403,male
385,2nd,28.0,female
722,3rd,19.0,male
169,1st,15.0,female
275,1st,21.0,male
485,2nd,48.0,male
790,3rd,31.19418104265403,male
159,1st,31.19418104265403,female
302,1st,31.19418104265403,male
296,1st,31.19418104265403,female
1208,3rd,31.19418104265403,male
428,2nd,6.0,female
745,3rd,22.0,female
109,1st,22.0,female
1300,3rd,31.19418104265403,male
906,3rd,31.19418104265403,male
1291,3rd,31.19418104265403,male
32,1st,31.19418104265403,male
584,2nd,4.0,female
585,2nd,2.0,male
1250,3rd,31.19418104265403,male
44,1st,33.0,male
163,1st,50.0,female
920,3rd,31.19418104265403,female
246,1st,62.0,male
364,2nd,52.0,male
567,2nd,31.19418104265403,female
289,1st,31.19418104265403,female
182,1st,37.0,female
245,1st,32.0,male
133,1st,31.19418104265403,male
984,3rd,31.19418104265403,male
417,2nd,21.0,male
950,3rd,31.19418104265403,male
1219,3rd,31.19418104265403,female
365,2nd,30.0,male
899,3rd,31.19418104265403,female
1235,3rd,31.19418104265403,male
360,2nd,31.19418104265403,male
1132,3rd,31.19418104265403,male
947,3rd,31.19418104265403,male
204,1st,46.0,male
442,2nd,18.0,female
878,3rd,31.19418104265403,male
504,2nd,48.0,male
909,3rd,31.19418104265403,male
961,3rd,31.19418104265403,female
257,1st,39.0,female
989,3rd,31.19418104265403,female
599,2nd,24.0,female
34,1st,48.0,male
353,2nd,25.0,male
1021,3rd,31.19418104265403,male
378,2nd,30.0,female
407,2nd,31.19418104265403,male
439,2nd,34.0,male
453,2nd,31.19418104265403,female
706,3rd,24.0,male
223,1st,31.19418104265403,male
787,3rd,18.0,male
516,2nd,19.0,male
930,3rd,31.19418104265403,male
1093,3rd,31.19418104265403,female
613,3rd,24.0,male
366,2nd,30.0,female
1293,3rd,31.19418104265403,female
1215,3rd,31.19418104265403,female
425,2nd,1.0,male
440,2nd,32.0,male
1229,3rd,31.19418104265403,male
732,3rd,35.0,male
42,1st,58.0,female
85,1st,31.19418104265403,female
545,2nd,25.0,female
1223,3rd,31.19418104265403,male
834,3rd,31.19418104265403,male
680,3rd,9.0,female
1242,3rd,31.19418104265403,male
1160,3rd,31.19418104265403,male
1152,3rd,31.19418104265403,male
318,1st,31.19418104265403,female
1186,3rd,31.19418104265403,male
270,1st,64.0,male
104,1st,60.0,female
858,3rd,31.19418104265403,female
725,3rd,36.0,male
421,2nd,30.0,male
445,2nd,21.0,female
593,2nd,32.0,male
1183,3rd,31.19418104265403,male
840,3rd,31.19418104265403,female
979,3rd,31.19418104265403,male
20,1st,26.0,male
16,1st,24.0,male
775,3rd,43.0,male
121,1st,38.0,male
1202,3rd,31.19418104265403,male
739,3rd,59.0,male
852,3rd,31.19418104265403,male
156,1st,42.0,male
750,3rd,28.0,female
600,2nd,31.19418104265403,male
1034,3rd,31.19418104265403,female
347,2nd,15.0,female
118,1st,31.19418104265403,female
773,3rd,31.19418104265403,male
614,3rd,41.0,male
639,3rd,35.0,male
1311,3rd,31.19418104265403,female
1259,3rd,31.19418104265403,female
1037,3rd,31.19418104265403,male
1039,3rd,31.19418104265403,male
518,2nd,20.0,male
229,1st,50.0,male
368,2nd,31.19418104265403,female
647,3rd,5.0,female
637,3rd,18.0,female
456,2nd,31.19418104265403,male
339,2nd,1.0,male
41,1st,53.0,female
1182,3rd,31.19418104265403,female
977,3rd,31.19418104265403,male
300,1st,31.19418104265403,female
1118,3rd,31.19418104265403,male
1069,3rd,31.19418104265403,female
311,1st,31.19418104265403,female
426,2nd,44.0,male
324,2nd,18.0,male
379,2nd,31.19418104265403,female
82,1st,31.0,male
4,1st,0.9167,male
135,1st,52.0,female
550,2nd,31.19418104265403,male
556,2nd,59.0,male
66,1st,31.19418104265403,male
1104,3rd,31.19418104265403,male
887,3rd,31.19418104265403,male
184,1st,55.0,male
521,2nd,22.0,male
155,1st,31.19418104265403,female
486,2nd,31.19418104265403,female
279,1st,50.0,male
1187,3rd,31.19418104265403,female
676,3rd,26.0,male
665,3rd,45.0,female
388,2nd,28.0,male
110,1st,60.0,male
103,1st,64.0,male
539,2nd,36.0,male
907,3rd,31.19418104265403,female
65,1st,31.19418104265403,male
1220,3rd,31.19418104265403,female
171,1st,31.19418104265403,male
1162,3rd,31.19418104265403,male
144,1st,35.0,female
591,2nd,31.19418104265403,male
767,3rd,30.0,male
449,2nd,36.0,female
583,2nd,29.0,female
727,3rd,31.0,male
1288,3rd,31.19418104265403,male
711,3rd,37.0,female
62,1st,31.19418104265403,male
1281,3rd,31.19418104265403,male
178,1st,31.19418104265403,female
1102,3rd,31.19418104265403,male
1306,3rd,31.19418104265403,female
814,3rd,31.19418104265403,male
1234,3rd,31.19418104265403,female
1218,3rd,31.19418104265403,male
1312,3rd,31.19418104265403,male
1065,3rd,31.19418104265403,female
1287,3rd,31.19418104265403,male
708,3rd,33.0,male
397,2nd,8.0,male
237,1st,31.19418104265403,male
943,3rd,31.19418104265403,male
131,1st,45.0,male
219,1st,48.0,female
253,1st,63.0,female
811,3rd,31.19418104265403,male
865,3rd,31.19418104265403,female
765,3rd,36.0,male
779,3rd,24.0,female
856,3rd,31.19418104265403,male
685,3rd,18.0,female
1149,3rd,31.19418104265403,female
394,2nd,31.19418104265403,male
931,3rd,31.19418104265403,male
712,3rd,28.0,male
1124,3rd,31.19418104265403,male
192,1st,31.19418104265403,male
1178,3rd,31.19418104265403,female
119,1st,71.0,male
962,3rd,31.19418104265403,male
1016,3rd,31.19418104265403,male
1112,3rd,31.19418104265403,female
1066,3rd,31.19418104265403,male
737,3rd,3.0,male
1238,3rd,31.19418104265403,male
1125,3rd,31.19418104265403,male
549,2nd,21.0,female
752,3rd,27.0,male
951,3rd,31.19418104265403,male
1007,3rd,31.19418104265403,female
768,3rd,31.19418104265403,male
489,2nd,31.19418104265403,male
846,3rd,31.19418104265403,male
580,2nd,36.0,female
492,2nd,31.19418104265403,male
260,1st,31.19418104265403,female
605,3rd,35.0,female
162,1st,55.0,female
196,1st,31.19418104265403,male
1153,3rd,31.19418104265403,female
1078,3rd,31.19418104265403,male
510,2nd,32.0,male
622,3rd,32.0,male
792,3rd,31.19418104265403,male
231,1st,56.0,male
772,3rd,65.0,male
1236,3rd,31.19418104265403,male
101,1st,28.0,female
96,1st,31.19418104265403,female
753,3rd,25.0,male
731,3rd,43.0,male
661,3rd,18.0,female
290,1st,31.19418104265403,female
